name,category,region,country,platform,brand,url,currency,price,old_price,commission,notes
Recharge.com Cartes,giftcard,Global,FR,Affiliate,Recharge.com,https://www.recharge.com/,EUR,-,-,-,Cartes cadeaux / recharges
GiftCards.com,giftcard,NA,US,Affiliate,GiftCards.com,https://www.giftcards.com/,USD,-,-,-,Cartes cadeaux
CardCash,giftcard,NA,US,Affiliate,CardCash,https://www.cardcash.com/,USD,-,-,-,Cartes remisées
